Number,SAS NAME,Utilization Flag,UB04 Code,PRCCS,ICD-10-PCS,ICD-10-PCS Label
1,U_BLOOD,Blood,,222,,
1,U_BLOOD,Blood,'0380',,,,
1,U_BLOOD,Blood,'0381',,,,
1,U_BLOOD,Blood,'0382',,,,
1,U_BLOOD,Blood,'0383',,,,
1,U_BLOOD,Blood,'0384',,,,
1,U_BLOOD,Blood,'0385',,,,
1,U_BLOOD,Blood,'0386',,,,
1,U_BLOOD,Blood,'0387',,,,
1,U_BLOOD,Blood,'0389',,,,
1,U_BLOOD,Blood,'0390',,,,
1,U_BLOOD,Blood,'0391',,,,
1,U_BLOOD,Blood,'0392',,,,
1,U_BLOOD,Blood,'0399',,,,
2,U_CATH,Cardiac Catheterization Lab,,47,,
2,U_CATH,Cardiac Catheterization Lab,'0481',,,,
3,U_CCU,Coronary Care Unit (CCU),'0210',,,,
3,U_CCU,Coronary Care Unit (CCU),'0211',,,,
3,U_CCU,Coronary Care Unit (CCU),'0212',,,,
3,U_CCU,Coronary Care Unit (CCU),'0213',,,,
3,U_CCU,Coronary Care Unit (CCU),'0214',,,,
3,U_CCU,Coronary Care Unit (CCU),'0219',,,,
4,U_CHESTXRAY,Chest X-Ray,'0324',,,,
4,U_CHESTXRAY,Chest X-Ray,,,'BB0DZZZ',"Plain Radiography of Upper Airways "
4,U_CHESTXRAY,Chest X-Ray,,,'BB12ZZZ',"Fluoroscopy of Right Lung "
4,U_CHESTXRAY,Chest X-Ray,,,'BB13ZZZ',"Fluoroscopy of Left Lung "
4,U_CHESTXRAY,Chest X-Ray,,,'BB14ZZZ',"Fluoroscopy of Bilateral Lungs "
4,U_CHESTXRAY,Chest X-Ray,,,'BB16ZZZ',"Fluoroscopy of Diaphragm "
4,U_CHESTXRAY,Chest X-Ray,,,'BB1CZZZ',"Fluoroscopy of Mediastinum "
4,U_CHESTXRAY,Chest X-Ray,,,'BB1DZZZ',"Fluoroscopy of Upper Airways "
4,U_CHESTXRAY,Chest X-Ray,,,'BW03ZZZ',"Plain Radiography of Chest "
5,U_CTSCAN,Computed Tomography Scan,,177,,
5,U_CTSCAN,Computed Tomography Scan,,178,,
5,U_CTSCAN,Computed Tomography Scan,,179,,
5,U_CTSCAN,Computed Tomography Scan,,180,,
5,U_CTSCAN,Computed Tomography Scan,'0350',,,,
5,U_CTSCAN,Computed Tomography Scan,'0351',,,,
5,U_CTSCAN,Computed Tomography Scan,'0352',,,,
5,U_CTSCAN,Computed Tomography Scan,'0359',,,,
6,U_DIALYSIS,Renal Dialysis,'0800',,,,
6,U_DIALYSIS,Renal Dialysis,'0801',,,,
6,U_DIALYSIS,Renal Dialysis,'0802',,,,
6,U_DIALYSIS,Renal Dialysis,'0803',,,,
6,U_DIALYSIS,Renal Dialysis,'0804',,,,
6,U_DIALYSIS,Renal Dialysis,'0809',,,,
6,U_DIALYSIS,Renal Dialysis,,,'3E1M39Z',"Irrigation of Peritoneal Cavity using Dialysate, Percutaneous Approach "
6,U_DIALYSIS,Renal Dialysis,,,'5A1D70Z',"Performance of Urinary Filtration, Intermittent, Less than 6 Hours Per Day "
6,U_DIALYSIS,Renal Dialysis,,,'5A1D80Z',"Performance of Urinary Filtration, Prolonged Intermittent, 6-18 hours Per Day "
6,U_DIALYSIS,Renal Dialysis,,,'5A1D90Z',"Performance of Urinary Filtration, Continuous, Greater than 18 hours Per Day "
7,U_ECHO,Echocardiology,'0483',,,,
7,U_ECHO,Echocardiogram,,,'B240YZZ',"Ultrasonography of Single Coronary Artery using Other Contrast "
7,U_ECHO,Echocardiogram,,,'B240ZZ3',"Ultrasonography of Single Coronary Artery, Intravascular "
7,U_ECHO,Echocardiogram,,,'B240ZZ4',"Ultrasonography of Single Coronary Artery, Transesophageal "
7,U_ECHO,Echocardiogram,,,'B240ZZZ',"Ultrasonography of Single Coronary Artery "
7,U_ECHO,Echocardiogram,,,'B241YZZ',"Ultrasonography of Multiple Coronary Arteries using Other Contrast "
7,U_ECHO,Echocardiogram,,,'B241ZZ3',"Ultrasonography of Multiple Coronary Arteries, Intravascular "
7,U_ECHO,Echocardiogram,,,'B241ZZ4',"Ultrasonography of Multiple Coronary Arteries, Transesophageal "
7,U_ECHO,Echocardiogram,,,'B241ZZZ',"Ultrasonography of Multiple Coronary Arteries "
7,U_ECHO,Echocardiogram,,,'B244YZZ',"Ultrasonography of Right Heart using Other Contrast "
7,U_ECHO,Echocardiogram,,,'B244ZZ3',"Ultrasonography of Right Heart, Intravascular "
7,U_ECHO,Echocardiogram,,,'B244ZZ4',"Ultrasonography of Right Heart, Transesophageal "
7,U_ECHO,Echocardiogram,,,'B244ZZZ',"Ultrasonography of Right Heart "
7,U_ECHO,Echocardiogram,,,'B245YZZ',"Ultrasonography of Left Heart using Other Contrast "
7,U_ECHO,Echocardiogram,,,'B245ZZ3',"Ultrasonography of Left Heart, Intravascular "
7,U_ECHO,Echocardiogram,,,'B245ZZ4',"Ultrasonography of Left Heart, Transesophageal "
7,U_ECHO,Echocardiogram,,,'B245ZZZ',"Ultrasonography of Left Heart "
7,U_ECHO,Echocardiogram,,,'B246YZZ',"Ultrasonography of Right and Left Heart using Other Contrast "
7,U_ECHO,Echocardiogram,,,'B246ZZ3',"Ultrasonography of Right and Left Heart, Intravascular "
7,U_ECHO,Echocardiogram,,,'B246ZZ4',"Ultrasonography of Right and Left Heart, Transesophageal "
7,U_ECHO,Echocardiogram,,,'B246ZZZ',"Ultrasonography of Right and Left Heart "
7,U_ECHO,Echocardiogram,,,'B24BYZZ',"Ultrasonography of Heart with Aorta using Other Contrast "
7,U_ECHO,Echocardiogram,,,'B24BZZ3',"Ultrasonography of Heart with Aorta, Intravascular "
7,U_ECHO,Echocardiogram,,,'B24BZZ4',"Ultrasonography of Heart with Aorta, Transesophageal "
7,U_ECHO,Echocardiogram,,,'B24BZZZ',"Ultrasonography of Heart with Aorta "
7,U_ECHO,Echocardiogram,,,'B24CYZZ',"Ultrasonography of Pericardium using Other Contrast "
7,U_ECHO,Echocardiogram,,,'B24CZZ3',"Ultrasonography of Pericardium, Intravascular "
7,U_ECHO,Echocardiogram,,,'B24CZZ4',"Ultrasonography of Pericardium, Transesophageal "
