TABLETYP,ICD10,Pure Victorian Logical,,,,
A,A000,0010,,,,
A,A001,0011,,,,
A,A009,0019,,,,
A,A010,0020,,,,
A,A011,0021,,,,
A,A012,0022,,,,
A,A013,0023,,,,
A,A014,0029,,,,
A,A020,0030,,,,
A,A021,0031,,,,
A,A022,00320,,,,
A,A028,0038,,,,
A,A029,0039,,,,
A,A030,0040,,,,
A,A031,0041,,,,
A,A032,0042,,,,
A,A033,0043,,,,
A,A038,0048,,,,
A,A039,0049,,,,
A,A040,00801,,,,
A,A041,00802,,,,
A,A042,00803,,,,
A,A043,00804,,,,
A,A044,00809,,,,
A,A045,00843,,,,
A,A046,00844,,,,
A,A047,00845,,,,
A,A048,00849,,,,
A,A049,0085,,,,
A,A050,0050,,,,
A,A051,0051,,,,
A,A052,0052,,,,
A,A053,0054,,,,
A,A054,00589,,,,
A,A058,00589,,,,
A,A059,0059,,,,
A,A060,0060,,,,
A,A061,0061,,,,
A,A062,0062,,,,
A,A063,0068,,,,
A,A064,0063,,,,
A,A065,0064,,,,
A,A066,0065,,,,
A,A067,0066,,,,
A,A068,0068,,,,
A,A069,0069,,,,
A,A070,0070,,,,
A,A071,0071,,,,
A,A072,0074,,,,
A,A073,0072,,,,
A,A078,0078,,,,
A,A079,0079,,,,
A,A080,00861,,,,
A,A081,00863,,,,
A,A082,00862,,,,
A,A083,00869,,,,
A,A084,0088,,,,
A,A085,00849,,,,
A,A09,0093,,,,
A,A150,01193,,,,
A,A151,01194,,,,
A,A152,01195,,,,
A,A153,01190,,,,
A,A154,01214,,,,
A,A155,01224,,,,
A,A156,01204,,,,
A,A157,01004,,,,
A,A158,01284,,,,
A,A159,01194,,,,
A,A160,01196,,,,
A,A161,01191,,,,
A,A162,01190,,,,
A,A163,01210,,,,
A,A164,01220,,,,
A,A165,01200,,,,
A,A167,01000,,,,
A,A168,01280,,,,
A,A169,01190,,,,
A,A170,01300,,,,
A,A171,01310,,,,
A,A178,01320,,,,
A,A179,01390,,,,
A,A180,01500,,,,
A,A181,01600,,,,
A,A182,01720,,,,
A,A183,01400,,,,
A,A184,01700,,,,
A,A185,01730,,,,
A,A186,01740,,,,
A,A187,01760,,,,
A,A188,01790,,,,
A,A190,01800,,,,
A,A191,01800,,,,
A,A192,01800,,,,
A,A198,01880,,,,
A,A199,01890,,,,
A,A200,0200,,,,
A,A201,0201,,,,
