MULTI-LEVEL ICD-10-PCS CCS CATEGORY,MULTI-LEVEL ICD-10-PCS CCS LABEL
'1','Operations on the nervous system'
'1.1','Incision and excision of CNS [1.]'
'1.2','Insertion; replacement; or removal of extracranial ventricular shunt [2.]'
'1.3','Laminectomy; excision intervertebral disc [3.]'
'1.4','Diagnostic spinal tap [4.]'
'1.5','Insertion of catheter or spinal stimulator and injection into spinal canal [5.]'
'1.6','Decompression peripheral nerve [6.]'
'1.7','Other diagnostic nervous system procedures [7.]'
'1.8','Other non-OR or closed therapeutic nervous system procedures [8.]'
'1.9','Other OR therapeutic nervous system procedures [9.]'
'2','Operations on the endocrine system'
'2.1','Thyroidectomy; partial or complete [10.]'
'2.2','Diagnostic endocrine procedures [11.]'
'2.3','Other therapeutic endocrine procedures [12.]'
'3','Operations on the eye'
'3.1','Corneal transplant [13.]'
'3.2','Glaucoma procedures [14.]'
'3.3','Lens and cataract procedures [15.]'
'3.4','Repair of retinal tear; detachment [16.]'
'3.5','Destruction of lesion of retina and choroid [17.]'
'3.6','Diagnostic procedures on eye [18.]'
'3.7','Other therapeutic procedures on eyelids; conjunctiva; cornea [19.]'
'3.8','Other intraocular therapeutic procedures [20.]'
'3.9','Other extraocular muscle and orbit therapeutic procedures [21.]'
'4','Operations on the ear'
'4.1','Tympanoplasty [22.]'
'4.2','Myringotomy [23.]'
'4.3','Mastoidectomy [24.]'
'4.4','Diagnostic procedures on ear [25.]'
'4.5','Other therapeutic ear procedures [26.]'
'5','Operations on the nose; mouth; and pharynx'
'5.1','Control of epistaxis [27.]'
'5.2','Plastic procedures on nose [28.]'
'5.3','Dental procedures [29.]'
'5.4','Tonsillectomy and/or adenoidectomy [30.]'
'5.5','Diagnostic procedures on nose; mouth and pharynx [31.]'
'5.6','Other non-OR therapeutic procedures on nose; mouth and pharynx [32.]'
'5.7','Other OR therapeutic procedures on nose; mouth and pharynx [33.]'
'6','Operations on the respiratory system'
'6.1','Tracheostomy; temporary and permanent [34.]'
'6.2','Tracheoscopy and laryngoscopy with biopsy [35.]'
'6.3','Lobectomy or pneumonectomy [36.]'
'6.4','Diagnostic bronchoscopy and biopsy of bronchus [37.]'
'6.5','Other diagnostic procedures on lung and bronchus [38.]'
'6.6','Incision of pleura; thoracentesis; chest drainage [39.]'
'6.7','Other diagnostic procedures of respiratory tract and mediastinum [40.]'
'6.8','Other non-OR therapeutic procedures on respiratory system [41.]'
'6.9','Other OR therapeutic procedures on respiratory system [42.]'
'7','Operations on the cardiovascular system'
'7.1','Heart valve procedures [43.]'
'7.2','Coronary artery bypass graft (CABG) [44.]'
'7.3','Percutaneous transluminal coronary angioplasty (PTCA) [45.]'
'7.4','Coronary thrombolysis [46.]'
'7.5','Diagnostic cardiac catheterization; coronary arteriography [47.]'
'7.6','Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.]'
